tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
##Nutty Nancy must have been under the influence of and the day AG Barr appeared before ##Congress,TonyEBoggs1,"['Nutty', 'Congress']",2019-05-04,Sat,1124771589726396417,0,0.0,0.0
***A great investigation Put a bunch of financial #DOJinvestigators on the job to look into #Russian money &amp #GOPMembers of #Congress!! I think that would answer the big question 'Why is there so much blind loyalty to #Trump?'**,ExrjmcCarr,"['DOJinvestigators', 'Russian', 'GOPMembers', 'Congress', 'Trump']",2019-05-04,Sat,1124771142370299905,0,0.0,0.06000000000000001
#Staytuned for #ChickenBarr to be held in contempt of #Congress and arrested for perjury #Mueller is going to #Testify to the #FACTS #Trump won with #Russia and can't win w/o them #TraitorTrump #LiarInChief,TheOUTFront,"['Staytuned', 'ChickenBarr', 'Congress', 'Mueller', 'Testify', 'FACTS', 'Trump', 'Russia', 'TraitorTrump', 'LiarInChief']",2019-05-04,Sat,1124770751784075264,3,0.0,0.8
Midlands Classics and Ancient History Colloquium 2019 15/05/2019 Coventry (England) #congress #Coventry #England,fasticongress,"['congress', 'Coventry', 'England']",2019-05-04,Sat,1124769660677890063,0,0.0,0.0
If Pro is the opposite of Con.... Then what is the opposite of #DynastyMuktBharat,JatinPatidar7,['DynastyMuktBharat'],2019-05-04,Sat,1124769633058164737,1,0.0,0.0
Russia Russia Russia or Coup to Divide and Conquer #congress #conservativenews #democrats #donaldtrump #hillaryclinton #politics #republicans,CDNnow,"['congress', 'conservativenews', 'democrats', 'donaldtrump', 'hillaryclinton', 'politics', 'republicans']",2019-05-04,Sat,1124769189393326080,0,0.0,0.0
Look that was the status of the Prime Minister of India the President of USA gave him repect by holding umbrella for him #LokSabhaElection2019 #Rajiv Gandhi #Rahulgandhi #Amethiloksabhapolls #congress,Ahteshamk,"['LokSabhaElection2019', 'Rajiv', 'Rahulgandhi', 'Amethiloksabhapolls', 'congress']",2019-05-04,Sat,1124768524176486400,1,0.0,0.0
Traditional #CongressVotes coming back to #Congress AND Traditional #BJPvotes going to #NOTA ! SO The REAL COMPETITION is between #Modi and #Nota ! Now TELL WHO WILL WIN ? #ModiWave or #NOTAwave ?!? #DeshKiPasandModi #Elections2019 #ElectionCommission #Rss #RSspirit,MServe2grow,"['CongressVotes', 'Congress', 'BJPvotes', 'NOTA', 'Modi', 'Nota', 'ModiWave', 'NOTAwave', 'DeshKiPasandModi', 'Elections2019', 'ElectionCommission', 'Rss', 'RSspirit']",2019-05-04,Sat,1124768066317967360,1,1.0,0.25
Former army generals debunk Congress claims on surgical strikes #armygenerals #Congress #SurgicalStrikes via _in,GSFNetwork,"['armygenerals', 'Congress', 'SurgicalStrikes']",2019-05-04,Sat,1124767476397428736,0,0.0,0.0
Former army generals debunk Congress claims on surgical strikes #armygenerals #Congress #SurgicalStrikes via _in,SatiShankar,"['armygenerals', 'Congress', 'SurgicalStrikes']",2019-05-04,Sat,1124767422584504320,0,0.0,0.0
Inner Purity and Pollution in Ancient Mediterranean Religions and Beyond 09-10-11/05/2019 Charlottesville (VA USA) #congress #Charlottesville #USA,fasticongress,"['congress', 'Charlottesville', 'USA']",2019-05-04,Sat,1124766707652997121,0,0.0,0.0
HEY #NancyPelosi are you listening #Congress,Jillisw,"['NancyPelosi', 'Congress']",2019-05-04,Sat,1124764190365892610,0,0.0,0.0
we have attic #progress which is the opposite of #congress,tracy_forner,"['progress', 'congress']",2019-05-04,Sat,1124763784705380355,3,0.0,0.0
Times have changed It is time to demonstrate that we are not timid apologists any more Also on governance matters policy paralysis thy name is #Congress,PatnaikRanjan,['Congress'],2019-05-04,Sat,1124762115330301952,0,0.0,0.5
