tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
_chadha #AAP's victory is sure shot...................no doubt this fact about,geetsun,['AAP'],2019-05-05,Sun,1124984383855779840,0,0,0.5
let the opposition speak odd a lot........#AAP's victory is sure shot :-),geetsun,['AAP'],2019-05-05,Sun,1124977402357006336,1,0,0.2777777777777778
This is really sad.. sir ji was looking for alliance with Punja symbol not Punja only hight of misunderstanding!! #KejriwalGetsSlappedAGAIN #KejriwalKiKutai #KejriwalSlapped #AAP,ursudhanshu,"['KejriwalGetsSlappedAGAIN', 'KejriwalKiKutai', 'KejriwalSlapped', 'AAP']",2019-05-05,Sun,1124975419751452672,2,0,-0.25
This is really sad.. sir ji was looking for alliance with Punja symbol not Punja only !! #AAP #KejriwalGetsSlappedAGAIN #KejriwalKiKutai,ursudhanshu,"['AAP', 'KejriwalGetsSlappedAGAIN', 'KejriwalKiKutai']",2019-05-05,Sun,1124974473285750784,0,0,-0.25
Most #AAP supporters are now #Modi bhakts including me. That's the story of two governments and it's leaders. #ModiHaiTohMumkinHai #ModiAaneWalaHai,prasghosh,"['AAP', 'Modi', 'ModiHaiTohMumkinHai', 'ModiAaneWalaHai']",2019-05-05,Sun,1124973200687763456,8,0,0.5
"You people enjoying the slap?? What we have became? This is democracy &amp everyone have different ideology It might be happened you don't like ideology of that person If someone is dangerous for nation don't vote it Simple!! I am not from #AAP,#Congress or any other party",solemn_vk,"['AAP', 'Congress']",2019-05-05,Sun,1124970991464079361,0,0,-0.045
#Elecciones2019 #AAP #BJP4India Super cartoon for latest situation,abhijai55888331,"['Elecciones2019', 'AAP', 'BJP4India']",2019-05-05,Sun,1124970801826938882,1,1,0.4166666666666666
The guy who slapped was #AAP supporter only,vensagastudio,['AAP'],2019-05-05,Sun,1124969090672541697,0,0,0.0
India's best CM n mY inspiration ideal leader of our country I respect #ArvindKejriwal #AAP #MainBhiKejriwal,Choudhuri_Emad,"['ArvindKejriwal', 'AAP', 'MainBhiKejriwal']",2019-05-05,Sun,1124967846222516224,4,1,0.95
That mandate was the perverted result of the misuse of the electronic voting devices/Machines programmed with an objective to keep AAP away otherwise AAP govt cannot be obstructed (as in Delhi for its Union Territory status for good governance.,ASA00000001,[],2019-05-07,Tue,1125687020011962368,0,0,0.35
"Okay u r seeing urself in mirror and then this is the origination of this beautiful quotes wow what a perception u hv bhabhi maa amazing superb ,kuch log jaise hai waise hi dikhte hai aap bilkul shuddh sona hai bahut anmol hai heere ki tarah grt punchline",asritesh,[],2019-05-07,Tue,1125686995257192448,0,0,0.6100000000000001
Domestic violence case Delhi HC quashes FIR against AAP MLA Somnath Bharti,TimesofNewsHUB,[],2019-05-07,Tue,1125686947937181696,0,0,0.0
Happy Birthday TechnicalGuruji bhai aaj aap to 28 saal ke hogaye or itni kam Umar me aapne Jo hasil kiya hai wo mere liye inspection ki ches hai thank you for inspiring us bhai God bless you lots of,jenjenxbp,[],2019-05-07,Tue,1125686754768445440,0,0,0.26666666666666666
_chadha You deserve a better party than AAP,anshuman77,[],2019-05-07,Tue,1125686667208118278,0,0,0.5
Court Clears AAP's Somnath Bharti In Domestic Violence Case #mynewscart,Riky41217274,['mynewscart'],2019-05-07,Tue,1125686641358667776,0,0,0.0
#AAP's South #Delhi Lok Sabha candidate #RaghavChadha feels people living in the national capital will #vote for the work done by the party and its leader as well as CM #ArvindKejriwal in the last four years. #LokSabhaElections2019 #Dangal2019 Photo IANS,ians_india,"['AAP', 'Delhi', 'RaghavChadha', 'vote', 'ArvindKejriwal', 'LokSabhaElections2019', 'Dangal2019']",2019-05-07,Tue,1125686600350875648,0,0,0.0
They were all dead when PM modi was insulted wo a single evidence by RAGa its slaves n creepy opposition parties did they read today statements by AAP Mamta etc opportunist selective psuedo intellectuals V give a damm abt thm,nareshaakshi,[],2019-05-07,Tue,1125686597763108865,0,0,-0.2571428571428572
