tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
"""Hon SC sides with Evil Modi/Communal BJP"" We will go for a Constitutional Review Petition demanding that ""RO must declare Congress DMK/SP/BSP/JDS TMC/CPM/CPI/RJD/RLD/INLD candidate elected whatever be the actual vote Heads MG wins tails NDA loses.",MONU1941,[],2019-05-07,Tue,1125655025705934848,0,0,-0.25
Bhai We should not see dynasty in this way..Dynasty is when one family is running the party one family is deciding what is good and what is bad one family is deciding who would be next president from them Examples of such parties Congress SP RJD ..,ravi08_sangwan,[],2019-05-07,Tue,1125653223040094208,1,0,2.7755575615628914e-17
To attract Anti BJP Votes To Survive Exactly Like BJP did all this year's Opposed Congress and attracted all Anti Cong votes from SP RJD JDS CPI type parties.,Sootradhar,[],2019-05-07,Tue,1125646758074146816,4,0,0.25
Bhagalpur kate kisi takkar Just had a discussion with family member of RJD candidate.,SocioPoliticalW,[],2019-05-07,Tue,1125643953154322434,1,0,0.0
Character of RJD,dksinghdks,[],2019-05-07,Tue,1125638266470801408,0,0,0.0
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,TGangeshwaran,[],2019-05-07,Tue,1125637488129667072,0,0,0.0
"Ledu gani RJD is loosing ground,fight btw brothers is damaging the party and cader is not at all enthusiastic NDA might easily win more than 30",MiddleClassAdmi,[],2019-05-07,Tue,1125636453290082307,0,0,0.6333333333333333
#LokSabhaElections2019 Results on 23rd May 2019 My Current Reading after 5 Phases of Top 10 Parties 1 BJP 150 180 2 INC 100 125 3 TMC 30 36 4 SP 24 28 5 BSP 20 24 6 YCP 18 22 7 TRS 15 16 8 BJD 14 16 9 DMK 14 16 10 RJD 10 -12,gandhi_pv,['LokSabhaElections2019'],2019-05-07,Tue,1125631534063448064,5,2,0.25
Next president of JDS HDD’s son RJD Lalu's son TDP Naidu's son SP MSY's son AY DMK Stalin’s son TMC Mamata’s nephew NCP Pawar's daughter Congress Rahul's Sister BJP will be Decided by cadres AND These are the people who lecture us on DEMOCRACY,MrharendraSingh,[],2019-05-07,Tue,1125629745922633728,1,0,0.0
I would assume so There is sympathy for RJD that they were betrayed and Tejashwi Yadav is proving to be quite a leader They won't get lesser seats than UPA but will will be less than their tally in 2014 I think NDA will win around 25 in Bihar,gnanodayam,[],2019-05-07,Tue,1125626239400570880,0,0,0.21111111111111114
This comparison is not at all correct Dynasty is when the top positions are reserved for the family like Congress Samajwadi RJD DMK Devegowda party BJP CPM etc are not dynastic.,vkdutt1,[],2019-05-07,Tue,1125620256511152128,1,1,0.5
BEN 42 ORIS 20 TELG 17 ANDRA 25 NCP 26 RJD 20 TOTAL 150 SEATS BSP N SP LIKELY TO WIN 50 MAX. That adds to 200 seats for this gang and max can end up winning with say 140 Do you think Rahul will be worried on these signals? Its naive n kiddish to think so.,Happymanhari,[],2019-05-07,Tue,1125618097157693441,0,0,0.2
Cong-RJD will take Bihar back to lantern days Modi via NaMo App,JMSharmaSemwal,[],2019-05-07,Tue,1125613558115385345,0,0,0.0
_sharma You don't even understand the basics hate and frustration has totally exposed your imbecility from 1976 Dem Republicans Dems Republicans Dem Republicans Do some Google for earlier times too And these guys routinely blame the other party Why don't you officially join RJD,ajgoyal,[],2019-05-07,Tue,1125612380505792512,0,0,-0.23125
